name: hatchback_-30_45_-36_10_15_20_30_420.png, overlap_score: 0.0, pred: [-30, -21]
name: hybrid_-30_15_-22_35_15_80_30_420.png, overlap_score: None, pred: [-30, -14]
name: hatchback_-30_15_-22_35_15_20_60_420.png, overlap_score: 0.34767707539984766, pred: [-30, -25]
name: hatchback_-17_15_-22_10_20_80_30_420.png, overlap_score: 173.11573236889691, pred: [-17, -24]
name: hybrid_-50_15_-4_35_15_80_60_420.png, overlap_score: None, pred: [-50, -17]
name: suv_-50_45_-36_35_20_20_30_420.png, overlap_score: 19.00489363827025, pred: [-50, -39]
name: sedan2door_-17_15_-36_35_20_230_60_420.png, overlap_score: None, pred: [-17, -16]
name: hatchback_-30_15_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-30, -19]
name: suv_-50_45_-36_35_15_230_30_420.png, overlap_score: 0.8695652173913043, pred: [-50, -4]
name: sedan4door_-30_45_-22_10_20_230_60_420.png, overlap_score: 4.503657262277952, pred: [-30, -21]
name: sedan2door_-50_45_-4_10_15_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: hatchback_-50_45_-4_35_15_80_30_420.png, overlap_score: 0.0, pred: [-50, -10]
name: sedan4door_-30_15_-36_10_20_80_60_420.png, overlap_score: 75.57692307692308, pred: [-30, -35]
name: sedan2door_-30_15_-36_10_15_20_30_420.png, overlap_score: None, pred: [-30, -11]
name: hatchback_-17_45_-36_35_15_140_60_420.png, overlap_score: 8.220338983050848, pred: [-17, -27]
name: hybrid_-50_45_-4_35_15_140_60_420.png, overlap_score: None, pred: [-50, -15]
name: sedan2door_-30_15_-22_10_15_20_30_420.png, overlap_score: None, pred: [-30, -12]
name: sedan4door_-50_45_-22_10_20_230_30_420.png, overlap_score: 5.368115942028986, pred: [-50, -19]
name: suv_-50_15_-4_10_20_140_30_420.png, overlap_score: None, pred: [-50, -6]
name: hybrid_-50_15_-4_35_15_140_30_420.png, overlap_score: None, pred: [-50, -14]
name: sedan4door_-17_45_-36_10_20_80_30_420.png, overlap_score: 248.182664756447, pred: [-17, -25]
name: hybrid_-30_45_-36_10_15_140_60_420.png, overlap_score: None, pred: [-30, -17]
name: suv_-50_45_-36_35_15_20_30_420.png, overlap_score: 60.33546389693399, pred: [-50, -34]
name: sedan2door_-30_45_-36_35_15_140_30_420.png, overlap_score: None, pred: [-30, -9]
name: hatchback_-50_45_-4_10_20_140_30_420.png, overlap_score: 183.35064935064935, pred: [-50, -4]
name: hatchback_-50_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -16]
name: sedan4door_-50_15_-36_35_15_140_60_420.png, overlap_score: 36.61971830985915, pred: [-50, -22]
name: hybrid_-50_45_-36_35_15_140_30_420.png, overlap_score: None, pred: [-50, -14]
name: hybrid_-50_15_-22_35_20_140_60_420.png, overlap_score: None, pred: [-50, -15]
name: sedan2door_-50_15_-4_10_20_140_60_420.png, overlap_score: None, pred: [-50, -18]
name: hatchback_-30_15_-4_35_20_80_60_420.png, overlap_score: 117.10252100840336, pred: [-30, 2]
name: hybrid_-17_45_-36_10_15_20_30_420.png, overlap_score: None, pred: [-17, -22]
name: hatchback_-17_45_-36_35_15_230_60_420.png, overlap_score: 196.52849162011174, pred: [-17, -33]
name: sedan2door_-50_45_-36_35_15_20_60_420.png, overlap_score: None, pred: [-50, -15]
name: hatchback_-30_45_-22_10_15_230_60_420.png, overlap_score: 241.77450980392157, pred: [-30, -20]
name: sedan4door_-30_15_-22_10_15_80_60_420.png, overlap_score: 15.881939014855355, pred: [-30, -24]
name: hatchback_-17_45_-4_10_15_140_30_420.png, overlap_score: 254.74025974025975, pred: [-17, -4]
name: suv_-30_15_-4_35_20_80_60_420.png, overlap_score: 138.92151366503154, pred: [-30, -2]
name: sedan2door_-50_45_-36_35_15_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: sedan4door_-50_45_-36_35_15_140_30_420.png, overlap_score: 0.0, pred: [-50, -18]
name: sedan4door_-50_45_-22_35_20_80_60_420.png, overlap_score: 225.12040656763097, pred: [-50, -21]
name: hatchback_-17_45_-36_10_20_20_60_420.png, overlap_score: 0.4720887245841035, pred: [-17, -18]
name: sedan4door_-50_15_-4_35_20_230_60_420.png, overlap_score: 27.6144578313253, pred: [-50, -2]
name: sedan2door_-50_45_-22_10_15_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: sedan2door_-17_15_-22_10_20_230_30_420.png, overlap_score: None, pred: [-17, -18]
name: hatchback_-50_15_-36_10_20_230_30_420.png, overlap_score: 0.0, pred: [-50, -24]
name: hatchback_-50_45_-4_35_15_230_60_420.png, overlap_score: 161.472049689441, pred: [-50, 0]
name: hatchback_-17_15_-36_10_15_140_60_420.png, overlap_score: 0.0, pred: [-17, -22]
name: hatchback_-17_45_-4_10_15_140_60_420.png, overlap_score: 0.0, pred: [-17, 1]
name: hatchback_-17_15_-22_35_20_140_60_420.png, overlap_score: 0.0, pred: [-17, -27]
name: hatchback_-30_15_-4_10_20_230_30_420.png, overlap_score: 0.0, pred: [-30, -16]
name: sedan2door_-50_45_-4_10_15_80_30_420.png, overlap_score: None, pred: [-50, -15]
name: hybrid_-17_15_-36_35_20_20_60_420.png, overlap_score: None, pred: [-17, -18]
name: hybrid_-30_45_-22_35_20_20_60_420.png, overlap_score: None, pred: [-30, -19]
name: hatchback_-30_15_-4_10_15_80_30_420.png, overlap_score: 0.23484848484848486, pred: [-30, -16]
name: hybrid_-17_45_-4_10_15_140_60_420.png, overlap_score: None, pred: [-17, -17]
name: hybrid_-50_15_-22_10_20_20_30_420.png, overlap_score: None, pred: [-50, -24]
name: hatchback_-30_45_-22_35_20_20_30_420.png, overlap_score: 0.2387408446314477, pred: [-30, -36]
name: suv_-30_45_-4_10_20_230_60_420.png, overlap_score: 50.94117647058823, pred: [-30, 0]
name: hatchback_-17_15_-22_35_20_80_30_420.png, overlap_score: 157.499095840868, pred: [-17, -26]
name: sedan2door_-30_15_-4_35_20_80_30_420.png, overlap_score: None, pred: [-30, -18]
name: sedan2door_-50_15_-36_35_15_140_30_420.png, overlap_score: None, pred: [-50, -16]
name: suv_-50_45_-36_10_20_230_60_420.png, overlap_score: 217.70646766169153, pred: [-50, -24]
name: hatchback_-50_15_-4_35_15_80_30_420.png, overlap_score: 0.4057507987220447, pred: [-50, -15]
name: suv_-17_15_-4_10_15_80_30_420.png, overlap_score: 1.9692307692307693, pred: [-17, -19]
name: sedan2door_-30_15_-36_35_20_230_30_420.png, overlap_score: None, pred: [-30, -19]
name: sedan2door_-50_15_-22_35_15_140_30_420.png, overlap_score: None, pred: [-50, -16]
name: hatchback_-30_45_-4_35_20_80_60_420.png, overlap_score: 217.7689075630252, pred: [-30, 2]
name: hybrid_-30_15_-36_35_15_20_30_420.png, overlap_score: None, pred: [-30, -26]
name: hatchback_-50_15_-4_35_15_20_30_420.png, overlap_score: 144.83264127098755, pred: [-50, -34]
name: suv_-30_15_-4_35_15_20_30_420.png, overlap_score: 0.0, pred: [-30, -18]
name: sedan4door_-30_15_-4_35_15_140_30_420.png, overlap_score: None, pred: [-30, -4]
name: hybrid_-30_45_-4_10_15_80_60_420.png, overlap_score: None, pred: [-30, -19]
name: suv_-50_15_-4_35_15_140_30_420.png, overlap_score: None, pred: [-50, -7]
name: sedan4door_-30_15_-4_35_15_80_60_420.png, overlap_score: 23.12417340191036, pred: [-30, -1]
name: hybrid_-17_45_-4_35_20_20_60_420.png, overlap_score: None, pred: [-17, -18]
name: suv_-50_45_-36_10_15_80_60_420.png, overlap_score: 67.26864893062076, pred: [-50, -24]
name: sedan2door_-17_45_-4_10_15_20_60_420.png, overlap_score: None, pred: [-17, -16]
name: sedan4door_-17_15_-4_35_20_140_60_420.png, overlap_score: 0.0, pred: [-17, -15]
name: sedan4door_-30_45_-4_10_20_230_30_420.png, overlap_score: 138.47457627118644, pred: [-30, -11]
name: sedan2door_-17_15_-36_10_20_20_30_420.png, overlap_score: None, pred: [-17, -11]
name: sedan4door_-50_45_-36_35_15_230_60_420.png, overlap_score: 0.0, pred: [-50, -33]
name: hybrid_-30_45_-4_35_20_80_60_420.png, overlap_score: None, pred: [-30, -19]
name: hybrid_-50_15_-4_10_15_80_30_420.png, overlap_score: None, pred: [-50, -12]
name: sedan2door_-17_15_-4_10_15_230_30_420.png, overlap_score: None, pred: [-17, -18]
name: hatchback_-30_45_-4_10_15_140_30_420.png, overlap_score: 87.76623376623377, pred: [-30, -7]
name: sedan4door_-30_45_-4_10_15_80_30_420.png, overlap_score: 3.2522255192878338, pred: [-30, -1]
name: sedan4door_-50_45_-36_35_20_230_60_420.png, overlap_score: 0.0, pred: [-50, -33]
name: sedan2door_-50_15_-22_10_20_140_60_420.png, overlap_score: None, pred: [-50, -18]
name: hatchback_-50_15_-36_10_20_80_60_420.png, overlap_score: 96.3145618127291, pred: [-50, -33]
name: sedan4door_-30_45_-4_35_15_230_30_420.png, overlap_score: 0.0, pred: [-30, -8]
name: hatchback_-50_45_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -6]
name: sedan4door_-17_45_-4_10_15_230_30_420.png, overlap_score: 0.0, pred: [-17, -9]
name: hatchback_-17_15_-22_35_20_230_60_420.png, overlap_score: 252.44607843137254, pred: [-17, -19]
name: sedan2door_-50_45_-22_35_20_140_30_420.png, overlap_score: None, pred: [-50, -10]
name: sedan2door_-30_45_-36_10_15_80_30_420.png, overlap_score: None, pred: [-30, -17]
name: hybrid_-50_45_-22_35_15_140_60_420.png, overlap_score: None, pred: [-50, -15]
name: sedan4door_-30_45_-22_35_20_230_60_420.png, overlap_score: 0.25705329153605017, pred: [-30, -22]
name: hybrid_-50_45_-22_35_15_230_60_420.png, overlap_score: None, pred: [-50, -15]
name: hybrid_-50_15_-4_35_15_80_30_420.png, overlap_score: None, pred: [-50, -12]
name: hatchback_-17_15_-36_10_20_20_30_420.png, overlap_score: 11.68700761116304, pred: [-17, -27]
name: sedan4door_-30_15_-22_10_15_20_30_420.png, overlap_score: 0.8579190437381147, pred: [-30, -28]
name: sedan4door_-50_45_-4_10_15_140_60_420.png, overlap_score: 0.0, pred: [-50, -2]
name: hatchback_-50_45_-4_35_15_20_30_420.png, overlap_score: 81.72865138111572, pred: [-50, -34]
name: sedan2door_-50_45_-36_35_20_140_60_420.png, overlap_score: None, pred: [-50, -17]
name: suv_-17_45_-22_35_15_20_60_420.png, overlap_score: 1.3128921848260124, pred: [-17, -22]
name: suv_-50_45_-22_10_15_80_30_420.png, overlap_score: 69.99505494505495, pred: [-50, -15]
name: sedan4door_-17_45_-36_35_20_80_60_420.png, overlap_score: 100.98010788941335, pred: [-17, -35]
name: suv_-30_15_-22_35_20_80_60_420.png, overlap_score: 93.7207105064248, pred: [-30, -9]
name: sedan4door_-30_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-30, -6]
name: hatchback_-17_45_-36_10_20_230_30_420.png, overlap_score: 0.0, pred: [-17, -9]
name: sedan2door_-17_45_-4_35_20_140_60_420.png, overlap_score: None, pred: [-17, -16]
name: hatchback_-50_45_-22_35_20_230_30_420.png, overlap_score: 8.28695652173913, pred: [-50, -20]
name: suv_-17_15_-36_10_15_140_60_420.png, overlap_score: 0.0, pred: [-17, -28]
name: hatchback_-17_45_-4_10_15_80_30_420.png, overlap_score: 0.7977207977207977, pred: [-17, -21]
name: sedan2door_-17_45_-36_35_20_20_30_420.png, overlap_score: None, pred: [-17, -7]
name: sedan4door_-30_45_-36_10_20_140_30_420.png, overlap_score: 0.0, pred: [-30, -14]
name: hatchback_-17_15_-22_10_20_140_30_420.png, overlap_score: 22.88888888888889, pred: [-17, -15]
name: suv_-50_15_-22_35_15_140_60_420.png, overlap_score: 0.0, pred: [-50, -19]
name: hybrid_-17_45_-36_10_15_140_60_420.png, overlap_score: None, pred: [-17, -17]
name: hybrid_-17_15_-4_35_20_140_30_420.png, overlap_score: None, pred: [-17, -19]
name: hybrid_-30_45_-36_35_15_230_60_420.png, overlap_score: None, pred: [-30, -17]
name: sedan4door_-30_15_-36_10_15_80_30_420.png, overlap_score: 83.03435114503817, pred: [-30, -22]
name: sedan2door_-50_45_-36_35_15_230_30_420.png, overlap_score: None, pred: [-50, -20]
name: hatchback_-17_45_-36_10_20_80_60_420.png, overlap_score: 90.7818254603683, pred: [-17, -30]
name: hybrid_-30_45_-22_10_20_20_30_420.png, overlap_score: None, pred: [-30, -27]
name: hybrid_-17_45_-22_10_20_140_60_420.png, overlap_score: None, pred: [-17, -17]
name: sedan4door_-50_45_-4_10_20_230_30_420.png, overlap_score: 240.67796610169492, pred: [-50, -11]
name: sedan4door_-50_15_-36_10_15_80_30_420.png, overlap_score: 49.17373358348968, pred: [-50, -16]
name: hatchback_-50_45_-4_10_15_230_30_420.png, overlap_score: 0.0, pred: [-50, -21]
name: hatchback_-50_15_-36_35_20_140_60_420.png, overlap_score: 0.940677966101695, pred: [-50, -21]
name: sedan4door_-17_15_-4_35_15_140_60_420.png, overlap_score: 22.163636363636364, pred: [-17, -15]
name: hybrid_-17_15_-36_35_15_20_30_420.png, overlap_score: None, pred: [-17, -23]
name: suv_-30_15_-36_10_15_20_30_420.png, overlap_score: 20.436404402772116, pred: [-30, -28]
name: suv_-30_45_-36_10_15_230_60_420.png, overlap_score: 250.93864013266997, pred: [-30, -31]
name: sedan4door_-17_45_-36_35_20_230_60_420.png, overlap_score: 2.3933910306845005, pred: [-17, -35]
name: hybrid_-30_45_-4_35_15_230_60_420.png, overlap_score: None, pred: [-30, -17]
name: sedan4door_-50_45_-22_10_20_20_30_420.png, overlap_score: 5.91138903672166, pred: [-50, -27]
name: hybrid_-50_15_-4_10_20_20_30_420.png, overlap_score: None, pred: [-50, -24]
name: suv_-30_15_-22_10_20_140_60_420.png, overlap_score: 0.0, pred: [-30, -24]
name: sedan4door_-30_45_-36_35_15_230_30_420.png, overlap_score: 0.0, pred: [-30, -19]
name: sedan2door_-50_15_-22_10_15_20_30_420.png, overlap_score: None, pred: [-50, -15]
name: sedan4door_-17_45_-22_35_20_230_30_420.png, overlap_score: 0.0, pred: [-17, -17]
name: sedan2door_-30_45_-22_35_20_80_30_420.png, overlap_score: None, pred: [-30, -17]
name: sedan4door_-17_45_-36_35_20_140_60_420.png, overlap_score: 252.46478873239437, pred: [-17, -23]
name: hybrid_-17_45_-4_10_15_20_30_420.png, overlap_score: None, pred: [-17, -22]
name: sedan2door_-30_15_-36_10_15_20_60_420.png, overlap_score: None, pred: [-30, -15]
name: suv_-17_15_-4_10_20_230_60_420.png, overlap_score: 127.94957983193277, pred: [-17, 1]
name: suv_-17_45_-36_10_20_140_30_420.png, overlap_score: None, pred: [-17, -9]
name: hybrid_-50_15_-4_10_20_230_30_420.png, overlap_score: None, pred: [-50, -21]
name: sedan4door_-30_15_-22_35_15_20_60_420.png, overlap_score: 0.0, pred: [-30, -22]
name: sedan2door_-30_15_-36_10_20_20_30_420.png, overlap_score: None, pred: [-30, -12]
name: sedan4door_-30_15_-4_35_20_20_30_420.png, overlap_score: 20.829650748396293, pred: [-30, -20]
name: sedan2door_-50_45_-36_10_20_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: hatchback_-30_15_-4_35_20_140_60_420.png, overlap_score: 0.0, pred: [-30, -5]
name: hybrid_-30_15_-4_35_20_80_60_420.png, overlap_score: None, pred: [-30, -17]
name: hybrid_-30_15_-22_10_15_80_60_420.png, overlap_score: None, pred: [-30, -17]
name: hatchback_-17_45_-22_35_20_80_60_420.png, overlap_score: 64.38683127572017, pred: [-17, -16]
name: sedan4door_-17_15_-4_10_15_80_60_420.png, overlap_score: 0.0, pred: [-17, 0]
name: sedan2door_-17_15_-22_10_20_80_60_420.png, overlap_score: None, pred: [-17, -15]
name: sedan4door_-17_15_-36_10_15_80_60_420.png, overlap_score: 85.91942009440324, pred: [-17, -36]
name: hatchback_-30_15_-36_10_15_230_60_420.png, overlap_score: 247.84469273743017, pred: [-30, -32]
name: suv_-17_15_-4_35_20_80_30_420.png, overlap_score: 32.5010989010989, pred: [-17, -20]
name: hybrid_-17_15_-4_10_15_20_60_420.png, overlap_score: None, pred: [-17, -18]
name: sedan2door_-50_15_-22_10_20_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: hybrid_-30_45_-22_10_20_20_60_420.png, overlap_score: None, pred: [-30, -19]
name: hybrid_-17_45_-22_10_15_80_60_420.png, overlap_score: None, pred: [-17, -19]
name: sedan4door_-50_45_-22_35_15_20_60_420.png, overlap_score: 0.005305039787798408, pred: [-50, -24]
name: sedan4door_-17_15_-22_10_20_20_60_420.png, overlap_score: 1.1312202852614897, pred: [-17, -20]
name: sedan2door_-50_45_-4_10_15_140_60_420.png, overlap_score: None, pred: [-50, -18]
name: suv_-30_15_-4_10_20_80_30_420.png, overlap_score: 65.4077519379845, pred: [-30, -8]
name: sedan4door_-50_15_-4_35_15_20_30_420.png, overlap_score: 0.0, pred: [-50, -23]
name: sedan4door_-50_45_-4_35_15_20_60_420.png, overlap_score: 0.0, pred: [-50, -17]
name: sedan2door_-17_15_-22_35_20_140_60_420.png, overlap_score: None, pred: [-17, -16]
name: sedan2door_-17_45_-4_35_15_80_30_420.png, overlap_score: None, pred: [-17, -16]
name: hatchback_-50_45_-4_35_20_80_60_420.png, overlap_score: 232.5344537815126, pred: [-50, -2]
name: sedan4door_-30_45_-22_10_15_140_60_420.png, overlap_score: 0.0, pred: [-30, -17]
name: hybrid_-50_45_-36_35_20_140_30_420.png, overlap_score: None, pred: [-50, -14]
name: sedan4door_-17_15_-22_35_20_230_30_420.png, overlap_score: 0.0, pred: [-17, -21]
name: sedan2door_-17_15_-4_35_15_20_60_420.png, overlap_score: None, pred: [-17, -16]
name: hybrid_-30_15_-4_35_15_230_30_420.png, overlap_score: None, pred: [-30, -21]
name: suv_-50_15_-36_10_20_230_30_420.png, overlap_score: 0.0, pred: [-50, -7]
name: hybrid_-17_15_-4_35_15_140_60_420.png, overlap_score: None, pred: [-17, -17]
name: sedan2door_-17_15_-22_10_20_80_30_420.png, overlap_score: None, pred: [-17, -15]
name: hybrid_-30_15_-4_10_15_140_30_420.png, overlap_score: None, pred: [-30, -19]
name: hybrid_-50_15_-4_35_20_80_60_420.png, overlap_score: None, pred: [-50, -17]
name: sedan2door_-17_45_-4_10_15_230_60_420.png, overlap_score: None, pred: [-17, -16]
name: suv_-30_15_-36_35_15_20_30_420.png, overlap_score: 11.332857725234406, pred: [-30, -27]
name: suv_-30_45_-36_35_15_80_30_420.png, overlap_score: 254.93525179856115, pred: [-30, -38]
name: sedan2door_-50_45_-4_10_15_230_60_420.png, overlap_score: None, pred: [-50, -16]
name: sedan4door_-17_45_-22_10_20_80_60_420.png, overlap_score: 0.0, pred: [-17, -22]
name: suv_-30_45_-36_35_20_230_30_420.png, overlap_score: 0.0, pred: [-30, 0]
name: sedan2door_-17_45_-4_35_15_80_60_420.png, overlap_score: None, pred: [-17, -16]
name: sedan2door_-50_45_-36_10_15_230_60_420.png, overlap_score: None, pred: [-50, -16]
name: suv_-30_45_-36_10_20_80_30_420.png, overlap_score: 250.4525179856115, pred: [-30, -39]
name: sedan2door_-50_45_-36_10_15_140_60_420.png, overlap_score: None, pred: [-50, -18]
name: sedan2door_-17_15_-22_35_20_80_30_420.png, overlap_score: None, pred: [-17, -16]
name: hybrid_-30_15_-4_10_15_230_60_420.png, overlap_score: None, pred: [-30, -17]
name: hatchback_-17_15_-36_10_20_230_30_420.png, overlap_score: 0.0, pred: [-17, -11]
name: sedan4door_-30_45_-36_10_20_20_60_420.png, overlap_score: 1.9490124667320352, pred: [-30, -30]
name: sedan2door_-50_15_-22_10_15_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: sedan4door_-30_45_-22_35_20_140_60_420.png, overlap_score: 0.0, pred: [-30, -20]
name: suv_-17_15_-36_10_20_80_30_420.png, overlap_score: 243.00686813186815, pred: [-17, -51]
name: suv_-17_15_-36_35_20_20_60_420.png, overlap_score: 63.58559256390395, pred: [-17, -18]
name: sedan2door_-30_45_-22_35_15_230_30_420.png, overlap_score: None, pred: [-30, -19]
name: sedan2door_-30_45_-22_35_20_140_60_420.png, overlap_score: None, pred: [-30, -19]
name: sedan4door_-17_15_-4_10_20_230_30_420.png, overlap_score: 102.33898305084746, pred: [-17, -10]
name: hybrid_-30_15_-36_10_20_140_60_420.png, overlap_score: None, pred: [-30, -17]
name: hybrid_-30_15_-36_10_15_140_30_420.png, overlap_score: None, pred: [-30, -19]
name: hatchback_-50_15_-36_35_15_80_60_420.png, overlap_score: 72.36587804065312, pred: [-50, -34]
name: suv_-30_45_-36_10_20_20_60_420.png, overlap_score: 46.88670447385003, pred: [-30, -16]
name: suv_-50_45_-36_35_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -25]
name: sedan4door_-50_15_-4_10_20_80_30_420.png, overlap_score: 0.0, pred: [-50, -1]
name: hatchback_-17_15_-22_35_20_80_60_420.png, overlap_score: 107.74845679012346, pred: [-17, -17]
name: hatchback_-17_45_-4_35_20_20_30_420.png, overlap_score: 0.13850017940437748, pred: [-17, -30]
name: suv_-30_45_-36_10_15_140_60_420.png, overlap_score: 4.44043321299639, pred: [-30, -31]
name: hybrid_-30_15_-22_10_15_20_60_420.png, overlap_score: None, pred: [-30, -19]
name: hatchback_-50_15_-22_10_15_20_30_420.png, overlap_score: 18.761819803746654, pred: [-50, -30]
name: sedan2door_-30_15_-36_10_20_140_30_420.png, overlap_score: None, pred: [-30, -13]
name: hatchback_-50_45_-36_35_20_80_30_420.png, overlap_score: 0.5107871720116618, pred: [-50, -34]
name: hatchback_-17_45_-36_35_20_230_60_420.png, overlap_score: 238.2268156424581, pred: [-17, -34]
name: suv_-50_45_-36_35_15_80_60_420.png, overlap_score: 28.522170057381324, pred: [-50, -24]
name: hybrid_-50_45_-36_10_15_80_60_420.png, overlap_score: None, pred: [-50, -18]
name: sedan2door_-50_45_-4_10_15_20_60_420.png, overlap_score: None, pred: [-50, -15]
name: sedan2door_-17_15_-4_35_15_20_30_420.png, overlap_score: None, pred: [-17, -11]
name: sedan4door_-50_15_-36_35_20_140_30_420.png, overlap_score: 56.064516129032256, pred: [-50, -20]
name: sedan4door_-50_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-50, -13]
name: hybrid_-30_15_-4_10_15_20_30_420.png, overlap_score: None, pred: [-30, -26]
name: hybrid_-50_15_-22_35_15_80_30_420.png, overlap_score: None, pred: [-50, -12]
name: sedan4door_-17_45_-4_35_20_230_30_420.png, overlap_score: 0.0, pred: [-17, -6]
name: sedan4door_-50_15_-22_10_20_80_30_420.png, overlap_score: 0.0, pred: [-50, -4]
name: hatchback_-17_45_-36_35_15_230_30_420.png, overlap_score: 0.0, pred: [-17, -14]
name: sedan2door_-50_45_-22_10_15_20_30_420.png, overlap_score: None, pred: [-50, -15]
name: hatchback_-17_15_-4_10_20_140_30_420.png, overlap_score: 152.97674418604652, pred: [-17, -7]
name: hybrid_-50_45_-4_10_20_140_60_420.png, overlap_score: None, pred: [-50, -15]
name: sedan2door_-30_45_-22_10_20_140_30_420.png, overlap_score: None, pred: [-30, -7]
name: suv_-50_45_-4_10_20_20_30_420.png, overlap_score: 0.6903893831121481, pred: [-50, -30]
name: suv_-50_15_-22_10_20_140_60_420.png, overlap_score: 0.0, pred: [-50, -17]
name: sedan2door_-30_45_-36_10_20_80_60_420.png, overlap_score: None, pred: [-30, -16]
name: hatchback_-30_15_-22_10_20_140_30_420.png, overlap_score: 0.0, pred: [-30, -18]
name: hatchback_-17_45_-36_35_15_80_30_420.png, overlap_score: 227.98583333333335, pred: [-17, -37]
name: sedan4door_-30_45_-4_35_20_80_60_420.png, overlap_score: 23.904481998530493, pred: [-30, -1]
name: sedan2door_-17_15_-22_35_15_230_30_420.png, overlap_score: None, pred: [-17, -18]
name: sedan2door_-30_15_-22_35_20_140_30_420.png, overlap_score: None, pred: [-30, -13]
name: hybrid_-50_15_-22_10_20_80_30_420.png, overlap_score: None, pred: [-50, -11]
name: sedan2door_-30_45_-22_10_20_230_60_420.png, overlap_score: None, pred: [-30, -17]
name: hatchback_-30_15_-22_35_15_20_30_420.png, overlap_score: 0.0, pred: [-30, -32]
name: sedan4door_-17_45_-36_35_20_20_60_420.png, overlap_score: 0.0, pred: [-17, -32]
name: hybrid_-17_15_-22_10_20_80_60_420.png, overlap_score: None, pred: [-17, -17]
name: suv_-17_45_-22_35_20_230_30_420.png, overlap_score: None, pred: [-17, -2]
name: sedan4door_-50_15_-36_35_20_230_30_420.png, overlap_score: 0.20657276995305165, pred: [-50, -27]
name: sedan4door_-30_45_-36_35_20_20_30_420.png, overlap_score: 113.79464073986246, pred: [-30, -27]
name: suv_-30_15_-4_10_15_20_60_420.png, overlap_score: 0.0, pred: [-30, -12]
name: suv_-30_15_-22_10_20_230_60_420.png, overlap_score: 254.0737386804657, pred: [-30, -18]
name: hybrid_-30_15_-22_10_15_140_30_420.png, overlap_score: None, pred: [-30, -19]
name: hybrid_-17_15_-22_35_15_230_30_420.png, overlap_score: None, pred: [-17, -18]
name: sedan2door_-50_45_-36_10_20_230_60_420.png, overlap_score: None, pred: [-50, -16]
name: sedan2door_-17_15_-36_10_20_140_60_420.png, overlap_score: None, pred: [-17, -16]
name: sedan2door_-30_45_-4_35_20_20_60_420.png, overlap_score: None, pred: [-30, -16]
name: sedan2door_-50_45_-4_35_20_80_60_420.png, overlap_score: None, pred: [-50, -16]
name: suv_-30_45_-36_35_20_140_60_420.png, overlap_score: 25.826714801444044, pred: [-30, -31]
