name: sedan4door_-20_23_-8_35_20_230_60_420.png, overlap_score: 177.94273215350964, pred: [-20, -23]
name: sedan2door_-20_45_-8_35_15_140_30_420.png, overlap_score: 27.771911298838436, pred: [-20, -30]
name: suv_-40_15_-8_10_20_20_30_420.png, overlap_score: 128.6111243619711, pred: [-40, -27]
name: sedan4door_-40_45_-30_35_20_230_60_420.png, overlap_score: 135.14015322217216, pred: [-40, -38]
name: sedan2door_0_45_-8_35_15_20_30_420.png, overlap_score: 98.55792323993407, pred: [0, 0]
name: hatchback_-20_45_-30_35_20_20_60_420.png, overlap_score: 129.19336163643382, pred: [-20, -14]
name: hatchback_-40_23_-8_35_15_20_30_420.png, overlap_score: 142.5621552575045, pred: [-40, -28]
name: sedan2door_0_23_-30_35_20_80_30_420.png, overlap_score: 113.31552419354838, pred: [0, -1]
name: sedan4door_-20_45_-30_10_15_80_30_420.png, overlap_score: 30.182577750270774, pred: [-20, -6]
name: suv_-20_45_-30_35_20_80_30_420.png, overlap_score: 45.65298996071584, pred: [-20, -24]
name: hatchback_-20_45_-8_10_15_80_30_420.png, overlap_score: 85.16017742730409, pred: [-20, -12]
name: hatchback_0_45_-30_10_15_80_30_420.png, overlap_score: 107.71458011334364, pred: [0, -3]
name: suv_-20_23_-30_10_15_140_30_420.png, overlap_score: 37.97970173985087, pred: [-20, -18]
name: sedan4door_-40_15_-8_10_15_140_30_420.png, overlap_score: 63.85051718385052, pred: [-40, -38]
name: sedan4door_-40_45_-30_35_20_20_30_420.png, overlap_score: 149.56620770845063, pred: [-40, -36]
name: suv_0_15_-30_35_20_80_60_420.png, overlap_score: 56.95462947403798, pred: [0, -6]
name: sedan2door_-40_15_-8_35_15_140_60_420.png, overlap_score: 17.73946761685181, pred: [-40, -34]
name: suv_-40_23_-30_10_15_80_60_420.png, overlap_score: 64.08803932277443, pred: [-40, -33]
name: hatchback_-20_15_-8_10_20_80_30_420.png, overlap_score: 73.20174141613275, pred: [-20, -13]
name: hybrid_-20_45_-8_10_15_230_30_420.png, overlap_score: 82.69928825622776, pred: [-20, -35]
name: hybrid_-20_23_-8_35_15_140_30_420.png, overlap_score: 72.12394247038917, pred: [-20, -18]
name: sedan4door_-40_23_-8_35_15_20_30_420.png, overlap_score: 138.03367968470081, pred: [-40, -35]
name: sedan2door_0_23_-30_10_15_20_60_420.png, overlap_score: 118.95944478908189, pred: [0, -1]
name: sedan2door_0_15_-30_35_15_80_60_420.png, overlap_score: 102.92538791680423, pred: [0, -1]
name: sedan2door_0_15_-30_35_15_230_30_420.png, overlap_score: None, pred: [0, -18]
name: suv_0_23_-30_35_20_20_30_420.png, overlap_score: 82.60315336281127, pred: [0, -1]
name: hatchback_-20_23_-8_35_20_20_30_420.png, overlap_score: 103.7872049689441, pred: [-20, -17]
name: sedan2door_-40_23_-30_10_20_230_60_420.png, overlap_score: 141.7801346801347, pred: [-40, -33]
name: sedan2door_0_45_-30_35_20_230_30_420.png, overlap_score: None, pred: [0, -21]
name: sedan2door_-20_15_-30_10_15_230_30_420.png, overlap_score: None, pred: [-20, -21]
name: sedan4door_-40_23_-8_10_15_20_60_420.png, overlap_score: 177.72877297990595, pred: [-40, -27]
name: hybrid_-40_23_-8_35_15_80_60_420.png, overlap_score: 127.08804965285083, pred: [-40, -33]
name: sedan2door_-20_23_-30_10_15_140_30_420.png, overlap_score: 25.457233368532208, pred: [-20, -31]
name: sedan2door_-20_15_-8_10_15_80_30_420.png, overlap_score: 91.02286067346309, pred: [-20, -10]
name: suv_-40_45_-30_35_20_230_30_420.png, overlap_score: 36.74621594349142, pred: [-40, -9]
name: sedan4door_-20_23_-30_10_15_230_60_420.png, overlap_score: 108.0392037375584, pred: [-20, -28]
name: hatchback_-40_23_-8_35_20_140_60_420.png, overlap_score: 65.44495895600926, pred: [-40, -30]
name: sedan4door_0_15_-30_35_20_20_30_420.png, overlap_score: 65.30573613766731, pred: [0, -7]
name: sedan2door_0_15_-8_10_15_230_30_420.png, overlap_score: None, pred: [0, -19]
name: hatchback_-20_23_-8_35_15_20_30_420.png, overlap_score: 108.53459627329192, pred: [-20, -18]
name: hatchback_0_45_-8_35_15_20_30_420.png, overlap_score: 93.77950461389024, pred: [0, -1]
name: hatchback_-20_23_-30_35_15_80_30_420.png, overlap_score: 32.40873993757187, pred: [-20, -20]
name: sedan4door_-20_23_-8_10_20_140_60_420.png, overlap_score: 87.6073423782921, pred: [-20, -15]
name: hatchback_-20_45_-30_35_15_20_30_420.png, overlap_score: 111.99503105590063, pred: [-20, -21]
name: hybrid_-20_23_-8_35_20_20_60_420.png, overlap_score: 130.0028348145878, pred: [-20, -6]
name: suv_-20_45_-30_10_15_80_60_420.png, overlap_score: 114.47119784656796, pred: [-20, -20]
name: sedan2door_0_45_-8_10_15_20_30_420.png, overlap_score: 92.83888627266306, pred: [0, 0]
name: sedan2door_-40_15_-30_35_15_80_30_420.png, overlap_score: 103.01899109792285, pred: [-40, -30]
name: hatchback_-40_45_-8_35_15_140_60_420.png, overlap_score: 60.250684066512314, pred: [-40, -31]
name: sedan2door_-40_45_-8_35_20_140_30_420.png, overlap_score: 28.431254695717506, pred: [-40, -30]
name: hatchback_-40_23_-8_10_20_80_30_420.png, overlap_score: 48.78473348470105, pred: [-40, -32]
name: sedan4door_0_23_-8_35_20_140_60_420.png, overlap_score: 61.5688622754491, pred: [0, 0]
name: suv_-40_15_-30_35_20_230_30_420.png, overlap_score: 62.88395560040363, pred: [-40, -6]
name: suv_-40_45_-8_35_15_80_60_420.png, overlap_score: 111.28498088476242, pred: [-40, -33]
name: hybrid_-20_15_-30_35_15_140_60_420.png, overlap_score: 105.28879512423816, pred: [-20, -9]
name: sedan4door_-20_23_-8_35_20_20_60_420.png, overlap_score: 54.77763496143959, pred: [-20, -11]
name: sedan2door_-20_45_-30_35_20_80_60_420.png, overlap_score: 133.22135451730173, pred: [-20, -18]
name: hybrid_0_15_-8_10_20_230_60_420.png, overlap_score: 24.517906336088153, pred: [0, -2]
name: sedan4door_-20_23_-30_35_15_20_60_420.png, overlap_score: 68.62682090831191, pred: [-20, -15]
name: sedan4door_-20_23_-8_10_20_230_30_420.png, overlap_score: 62.92509960159362, pred: [-20, -27]
name: hatchback_0_45_-8_35_20_20_30_420.png, overlap_score: 90.30548810101992, pred: [0, -1]
name: hybrid_-40_23_-30_10_20_80_30_420.png, overlap_score: 49.134261379247185, pred: [-40, -33]
name: sedan2door_0_23_-8_35_15_20_60_420.png, overlap_score: 126.79590570719603, pred: [0, -1]
name: sedan2door_0_15_-8_35_15_140_60_420.png, overlap_score: 46.59948096885813, pred: [0, 0]
name: sedan2door_0_23_-8_10_20_80_30_420.png, overlap_score: 93.53956653225806, pred: [0, -1]
name: hybrid_-20_45_-30_10_20_140_60_420.png, overlap_score: 119.25761837787154, pred: [-20, -9]
name: sedan2door_0_23_-30_10_20_80_60_420.png, overlap_score: 92.91053152855729, pred: [0, -1]
name: hatchback_0_15_-8_35_15_140_60_420.png, overlap_score: 73.21608471665712, pred: [0, 1]
name: sedan2door_0_45_-8_10_15_20_60_420.png, overlap_score: 104.63236662531017, pred: [0, -1]
name: sedan4door_-40_45_-8_10_20_230_60_420.png, overlap_score: 154.23492443513393, pred: [-40, -36]
name: sedan4door_0_45_-30_35_20_140_60_420.png, overlap_score: 129.50299401197606, pred: [0, -2]
name: sedan4door_-40_45_-8_35_15_230_60_420.png, overlap_score: 149.19991021996108, pred: [-40, -35]
name: hatchback_-40_15_-30_35_20_140_30_420.png, overlap_score: 39.267180690579956, pred: [-40, -35]
name: sedan2door_-40_15_-30_10_15_230_30_420.png, overlap_score: None, pred: [-40, -26]
name: sedan4door_-20_15_-30_35_20_140_60_420.png, overlap_score: 28.821229050279328, pred: [-20, -11]
name: hybrid_-40_45_-8_35_20_140_60_420.png, overlap_score: 63.74418028727093, pred: [-40, -31]
name: hybrid_0_15_-8_35_20_230_30_420.png, overlap_score: 68.46787878787879, pred: [0, -23]
name: sedan4door_-40_15_-8_35_20_230_30_420.png, overlap_score: 46.848686197523406, pred: [-40, -39]
name: hybrid_-20_23_-30_10_20_140_30_420.png, overlap_score: 74.95135363790186, pred: [-20, -17]
name: sedan4door_-20_15_-30_10_20_140_60_420.png, overlap_score: 26.647047086991222, pred: [-20, -12]
name: hatchback_0_23_-8_10_15_80_30_420.png, overlap_score: 147.20324574961361, pred: [0, 2]
name: sedan4door_-40_15_-30_10_20_230_60_420.png, overlap_score: 126.78128286014721, pred: [-40, -38]
name: hybrid_0_15_-8_10_15_20_60_420.png, overlap_score: 97.47082726366634, pred: [0, 0]
name: suv_-40_15_-8_35_20_140_60_420.png, overlap_score: 75.65656955431217, pred: [-40, -31]
name: sedan4door_-40_45_-30_10_15_230_60_420.png, overlap_score: 136.7470331981373, pred: [-40, -38]
name: sedan4door_-40_15_-30_35_15_230_30_420.png, overlap_score: 74.58032189492863, pred: [-40, -44]
name: sedan2door_-40_15_-8_10_15_20_60_420.png, overlap_score: 181.18535974666764, pred: [-40, -23]
name: sedan2door_-40_23_-30_10_20_80_30_420.png, overlap_score: 89.90059347181008, pred: [-40, -32]
name: suv_-40_15_-30_35_20_230_60_420.png, overlap_score: 179.53749387355006, pred: [-40, -35]
name: sedan4door_0_23_-30_10_15_140_30_420.png, overlap_score: 24.718709677419355, pred: [0, -8]
name: sedan2door_-40_45_-8_10_15_140_60_420.png, overlap_score: 37.748061203102075, pred: [-40, -36]
name: suv_-40_23_-8_10_15_20_30_420.png, overlap_score: 114.47636311596622, pred: [-40, -28]
name: sedan4door_-20_23_-8_35_20_140_60_420.png, overlap_score: 72.54569034317637, pred: [-20, -14]
name: hybrid_-20_23_-8_10_15_230_30_420.png, overlap_score: 91.0008896797153, pred: [-20, -39]
name: hybrid_0_15_-30_10_15_140_60_420.png, overlap_score: 88.59478104379124, pred: [0, 0]
name: hatchback_0_23_-8_10_15_20_30_420.png, overlap_score: 119.88621383473253, pred: [0, -1]
name: sedan2door_-40_15_-30_35_15_230_60_420.png, overlap_score: 145.64242424242425, pred: [-40, -32]
name: hatchback_-40_23_-8_10_20_20_30_420.png, overlap_score: 151.7801196075016, pred: [-40, -26]
name: sedan4door_0_23_-8_10_20_230_60_420.png, overlap_score: 111.05021316911416, pred: [0, 0]
name: hatchback_0_45_-8_10_15_230_60_420.png, overlap_score: 58.961853978671044, pred: [0, 0]
name: sedan4door_0_15_-30_10_15_230_60_420.png, overlap_score: 74.00473709142587, pred: [0, -1]
name: hatchback_-40_45_-8_35_15_230_60_420.png, overlap_score: 181.3658697444353, pred: [-40, -35]
name: sedan2door_0_45_-30_10_20_80_30_420.png, overlap_score: 96.7336189516129, pred: [0, -2]
name: suv_-20_15_-30_10_20_230_30_420.png, overlap_score: 158.1089187056038, pred: [-20, -6]
name: suv_0_15_-8_35_20_20_60_420.png, overlap_score: 56.89060919629659, pred: [0, 0]
name: sedan4door_-40_15_-8_10_15_20_60_420.png, overlap_score: 185.15596408721677, pred: [-40, -27]
name: sedan2door_-20_45_-8_35_20_80_60_420.png, overlap_score: 122.50962703648848, pred: [-20, -18]
name: sedan4door_0_23_-30_10_15_80_60_420.png, overlap_score: 111.57622965167162, pred: [0, 0]
name: hatchback_0_45_-8_35_20_80_30_420.png, overlap_score: 115.48866563626996, pred: [0, 0]
name: hatchback_0_15_-8_10_15_20_60_420.png, overlap_score: 27.695292439372324, pred: [0, 0]
name: suv_-40_15_-30_10_15_20_60_420.png, overlap_score: 116.51644892176924, pred: [-40, -19]
name: suv_-20_23_-30_10_15_20_60_420.png, overlap_score: 138.2218042166314, pred: [-20, -18]
name: hybrid_0_15_-8_35_15_230_30_420.png, overlap_score: 81.60928961748634, pred: [0, -22]
name: hybrid_-40_45_-8_10_15_140_30_420.png, overlap_score: 61.91618217054263, pred: [-40, -32]
name: hybrid_-40_23_-8_10_15_20_60_420.png, overlap_score: 120.96311970979444, pred: [-40, -14]
name: sedan2door_-20_45_-30_10_20_20_30_420.png, overlap_score: 74.47934552065448, pred: [-20, -22]
name: hatchback_0_23_-30_35_20_230_30_420.png, overlap_score: 21.253687315634217, pred: [0, -27]
name: sedan4door_-20_23_-8_35_20_80_30_420.png, overlap_score: 50.58254680488937, pred: [-20, -15]
name: hybrid_-40_23_-30_10_20_230_30_420.png, overlap_score: 104.01691928093057, pred: [-40, -43]
name: hatchback_-40_23_-30_10_20_230_30_420.png, overlap_score: 48.85205668855859, pred: [-40, -40]
name: hatchback_-40_15_-8_10_20_140_30_420.png, overlap_score: 31.362051625879985, pred: [-40, -37]
name: hatchback_0_45_-30_35_15_140_60_420.png, overlap_score: 70.3317115054379, pred: [0, -1]
name: hybrid_-40_45_-30_35_15_140_30_420.png, overlap_score: 60.52955426356589, pred: [-40, -30]
name: hybrid_0_45_-8_35_15_230_30_420.png, overlap_score: 64.27049180327869, pred: [0, -18]
name: sedan2door_-20_45_-30_10_15_20_30_420.png, overlap_score: 77.11963438036562, pred: [-20, -22]
name: suv_-40_45_-30_35_20_80_30_420.png, overlap_score: 61.227753636878894, pred: [-40, -37]
name: hybrid_0_23_-8_35_15_20_60_420.png, overlap_score: 89.23384190753661, pred: [0, 0]
name: hatchback_-40_45_-30_10_20_20_60_420.png, overlap_score: 74.22973231357552, pred: [-40, -19]
name: sedan4door_-40_23_-8_10_15_140_60_420.png, overlap_score: 108.68010224144712, pred: [-40, -30]
name: hatchback_-20_23_-30_10_20_140_60_420.png, overlap_score: 95.06263091746963, pred: [-20, -12]
name: hatchback_-40_45_-30_35_15_20_30_420.png, overlap_score: 161.7549207455147, pred: [-40, -33]
name: sedan4door_-20_45_-8_35_20_140_60_420.png, overlap_score: 113.0099760574621, pred: [-20, -17]
name: sedan2door_-40_45_-8_10_15_20_60_420.png, overlap_score: 175.12497238382798, pred: [-40, -22]
name: hatchback_-40_23_-8_10_15_140_30_420.png, overlap_score: 16.64901106268857, pred: [-40, -36]
name: sedan4door_-20_15_-8_35_15_230_30_420.png, overlap_score: 58.151821132347635, pred: [-20, -30]
name: sedan4door_-20_15_-8_35_20_20_30_420.png, overlap_score: 111.23406035588776, pred: [-20, -30]
name: sedan4door_-20_15_-8_10_15_20_60_420.png, overlap_score: 49.941816623821765, pred: [-20, -12]
name: hybrid_-40_23_-8_10_20_140_30_420.png, overlap_score: 61.905523255813954, pred: [-40, -31]
name: sedan2door_-20_23_-30_10_20_140_60_420.png, overlap_score: 116.23773246695048, pred: [-20, -13]
name: suv_-20_45_-30_35_15_140_30_420.png, overlap_score: 26.474316487158244, pred: [-20, -16]
name: sedan2door_0_23_-30_35_15_140_60_420.png, overlap_score: 44.19896193771626, pred: [0, 0]
name: hatchback_-20_15_-30_35_20_140_30_420.png, overlap_score: 85.5637738330046, pred: [-20, -6]
name: sedan4door_-20_45_-8_10_15_20_30_420.png, overlap_score: 150.3448429742846, pred: [-20, -30]
name: suv_0_23_-8_35_20_20_60_420.png, overlap_score: 47.85754298607329, pred: [0, 0]
name: sedan4door_-40_15_-30_35_20_230_30_420.png, overlap_score: 81.53628909808685, pred: [-40, -44]
name: hybrid_-40_45_-8_35_15_140_60_420.png, overlap_score: 74.34101040118871, pred: [-40, -31]
name: sedan2door_0_23_-8_35_20_20_60_420.png, overlap_score: 111.59134615384616, pred: [0, -1]
name: hybrid_-20_23_-8_35_20_80_60_420.png, overlap_score: 70.23229383229383, pred: [-20, -20]
name: sedan2door_-20_23_-30_10_20_80_60_420.png, overlap_score: 135.37188636057627, pred: [-20, -18]
name: sedan4door_-40_23_-30_35_15_80_30_420.png, overlap_score: 41.370310281890085, pred: [-40, -37]
name: sedan4door_0_23_-8_35_20_80_30_420.png, overlap_score: 110.84682877914264, pred: [0, 0]
name: hatchback_-20_45_-30_10_20_80_60_420.png, overlap_score: 62.29562547966232, pred: [-20, -18]
name: suv_-20_45_-30_35_20_20_30_420.png, overlap_score: 108.38997843721121, pred: [-20, -18]
name: sedan2door_0_15_-8_35_20_230_60_420.png, overlap_score: 54.14396551724138, pred: [0, -3]
name: sedan4door_-20_15_-30_35_15_80_30_420.png, overlap_score: 51.02723193563361, pred: [-20, -7]
name: sedan4door_-20_15_-8_10_20_230_60_420.png, overlap_score: 157.53688606084708, pred: [-20, -24]
name: suv_-20_15_-8_10_20_230_30_420.png, overlap_score: 161.94238358326757, pred: [-20, -5]
name: suv_0_15_-8_10_15_20_30_420.png, overlap_score: 128.12968350011636, pred: [0, -4]
name: sedan2door_-20_45_-8_35_15_20_30_420.png, overlap_score: 83.6967478032522, pred: [-20, -21]
name: hatchback_-40_23_-8_35_20_140_30_420.png, overlap_score: 26.385182701977875, pred: [-40, -36]
name: suv_-40_15_-30_35_15_20_60_420.png, overlap_score: 125.72760900362033, pred: [-40, -19]
name: sedan4door_-40_15_-30_10_20_80_30_420.png, overlap_score: 44.94757655647942, pred: [-40, -36]
name: sedan2door_-40_23_-8_10_20_230_30_420.png, overlap_score: None, pred: [-40, -27]
name: suv_-20_45_-30_10_20_230_60_420.png, overlap_score: 163.7412668840242, pred: [-20, -27]
name: sedan2door_-40_23_-30_10_20_140_30_420.png, overlap_score: 30.634861006761835, pred: [-40, -30]
name: hybrid_-20_23_-30_10_15_20_60_420.png, overlap_score: 135.91311676371438, pred: [-20, -6]
name: sedan4door_0_45_-30_35_20_230_30_420.png, overlap_score: 44.18229557389348, pred: [0, -34]
name: hybrid_0_45_-8_10_20_140_30_420.png, overlap_score: None, pred: [0, -6]
name: hybrid_-20_23_-8_10_20_140_60_420.png, overlap_score: 111.7906704172527, pred: [-20, -9]
name: sedan2door_-20_15_-30_10_20_20_30_420.png, overlap_score: 75.61342288657711, pred: [-20, -21]
name: suv_-40_15_-8_35_15_230_30_420.png, overlap_score: 78.56609485368315, pred: [-40, -8]
name: hatchback_0_45_-30_10_15_20_60_420.png, overlap_score: 44.20694246314788, pred: [0, -3]
name: hatchback_0_15_-8_35_20_80_30_420.png, overlap_score: 159.24703760947966, pred: [0, 0]
name: hatchback_0_15_-30_10_20_140_60_420.png, overlap_score: 81.29736691471093, pred: [0, 2]
name: hybrid_-20_45_-30_10_20_20_60_420.png, overlap_score: 120.96475635917866, pred: [-20, -6]
name: hatchback_-40_23_-8_10_15_230_30_420.png, overlap_score: 51.00656757690978, pred: [-40, -39]
name: hatchback_0_45_-30_10_15_80_60_420.png, overlap_score: 111.57289002557545, pred: [0, -3]
name: hatchback_0_23_-8_35_15_140_60_420.png, overlap_score: 68.96222095020035, pred: [0, 1]
name: hybrid_0_15_-8_10_20_140_60_420.png, overlap_score: 77.13467306538692, pred: [0, 0]
name: hatchback_-20_23_-8_10_20_230_30_420.png, overlap_score: 51.740286298568506, pred: [-20, -31]
name: hatchback_-40_45_-30_35_20_140_60_420.png, overlap_score: 60.155335718796046, pred: [-40, -32]
name: sedan4door_-20_15_-30_35_15_230_30_420.png, overlap_score: 37.4889705882353, pred: [-20, -39]
name: hybrid_-20_15_-30_10_20_80_60_420.png, overlap_score: 75.61330561330561, pred: [-20, -18]
name: sedan4door_-40_45_-30_10_20_20_60_420.png, overlap_score: 183.94399315946987, pred: [-40, -25]
name: sedan4door_0_23_-30_10_15_230_60_420.png, overlap_score: 76.38038844149692, pred: [0, -1]
name: hybrid_-20_45_-8_10_20_80_30_420.png, overlap_score: 37.568274734260015, pred: [-20, -23]
name: hybrid_-20_45_-30_10_20_80_30_420.png, overlap_score: 34.47247206323249, pred: [-20, -23]
name: hatchback_-40_15_-8_10_15_20_30_420.png, overlap_score: 138.92945479881553, pred: [-40, -31]
name: sedan2door_-20_23_-30_35_20_230_60_420.png, overlap_score: 144.682804339092, pred: [-20, -26]
name: sedan2door_-40_15_-30_10_20_20_30_420.png, overlap_score: 86.67613866282991, pred: [-40, -21]
name: sedan4door_0_15_-30_10_15_20_30_420.png, overlap_score: 70.10548119821543, pred: [0, -9]
name: hatchback_-20_45_-8_35_15_20_30_420.png, overlap_score: 98.9716149068323, pred: [-20, -17]
name: sedan2door_-40_45_-30_10_20_20_60_420.png, overlap_score: 175.44605641063407, pred: [-40, -22]
name: suv_0_23_-30_10_15_230_30_420.png, overlap_score: 119.20836621941595, pred: [0, -10]
name: sedan4door_-20_15_-8_10_20_80_30_420.png, overlap_score: 65.47593996596008, pred: [-20, -12]
name: sedan2door_-40_15_-8_35_20_140_30_420.png, overlap_score: 34.464312546957174, pred: [-40, -32]
name: sedan2door_-40_23_-30_35_20_230_30_420.png, overlap_score: None, pred: [-40, -28]
name: suv_0_45_-8_35_15_20_30_420.png, overlap_score: 121.24936001861764, pred: [0, -1]
name: hybrid_0_15_-30_10_15_20_30_420.png, overlap_score: 86.07460477233703, pred: [0, 0]
name: hatchback_0_23_-8_10_15_140_30_420.png, overlap_score: 31.844418052256533, pred: [0, -2]
name: sedan4door_-40_15_-30_10_15_80_60_420.png, overlap_score: 78.22009513864718, pred: [-40, -32]
name: hatchback_0_23_-30_10_20_230_60_420.png, overlap_score: 81.22354388843314, pred: [0, 0]
name: hybrid_-40_45_-30_10_20_140_60_420.png, overlap_score: 75.27662209014363, pred: [-40, -32]
name: hatchback_-40_45_-30_10_15_140_30_420.png, overlap_score: 30.70700636942675, pred: [-40, -34]
name: hatchback_0_45_-30_35_20_80_60_420.png, overlap_score: 123.55900621118012, pred: [0, -2]
name: hatchback_-20_45_-30_10_15_80_60_420.png, overlap_score: 54.953184957789716, pred: [-20, -19]
name: sedan4door_-40_45_-8_10_15_20_60_420.png, overlap_score: 170.9751175716118, pred: [-40, -26]
name: hatchback_-20_15_-30_10_20_80_30_420.png, overlap_score: 40.269262362411695, pred: [-20, -18]
name: suv_-40_23_-8_10_20_230_30_420.png, overlap_score: 84.47920997920998, pred: [-40, -12]
name: suv_-40_15_-30_35_20_140_60_420.png, overlap_score: 59.026818444916074, pred: [-40, -33]
name: suv_0_23_-8_35_15_230_60_420.png, overlap_score: 67.47390841320554, pred: [0, -5]
name: sedan4door_0_45_-30_10_15_20_30_420.png, overlap_score: 85.24474187380497, pred: [0, -6]
name: hybrid_-20_45_-8_35_15_140_30_420.png, overlap_score: 72.19120135363791, pred: [-20, -17]
name: suv_-20_45_-8_10_20_230_30_420.png, overlap_score: 70.37016574585635, pred: [-20, -8]
